No. Adq.,Título,Autor,Vol/Tomo/Año,Clasificación,ISBN/ISSN,Estado,Tipo,Colección,,,
9326,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v9 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
8890,LITERATURA MEXICANA E HISPANOAMERICANA : MANUAL PARA EL USO DE LOS ALUMNOS DE LAS ESCUELAS PREPARATORIAS,"ALVAREZ Z., MARIA EDMEE",-1969,PQ7111 A473l 1969,968-6042-26-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
8210,LITERATURA HEBREA MODERNA,"HALKINS, SIMON",-1968,AC9 B846 v.197,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
700215,"CUENTOS DE LA VIEJA RUSIA / NIKOLAI GOGOL, ANTON CHEJOV, ALEXANDER PUSHKIN","GOGOL, NIKOLAI",-2003,PG3289 .S5 C965,968-01-0093-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
700212,"LA TIERRA DE LOS SUSURROS / JESUS PEREZ RUIZ, JESUS PERALES","PEREZ RUIZ, JESUS",-1994,PQ7112 P438,968-29-5924-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
700154,POBRE PATRIA MIA: LA NOVELA DE PORFIRIO DIAZ / PEDRO ANGEL PALOU,"PALOU, PEDRO ANGEL",-2010,PQ7298.26 .A48 P181,978-607-07-0395-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
700153,ANTOLOGIA NARRATIVA: LITERATURA 1 / AGUSTIN YAÑEZ,"YAÑEZ, AGUSTIN",-2007,PQ7297 Y24a,978-970-29-1927-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
700119,MEMORIAS DE UNA GEISHA / ARTHUR GOLDEN ; TR. PILAR VAZQUEZ ALVAREZ,"GOLDEN, ARTHUR",-2006,PS3557 .O359 G618 2006,978-970-731-110-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
700107,EL LABERINTO  DE LA SOLEDAD: POSTDATA. VUELTA A EL LABERINTO DE LA SOLEDAD,"PAZ, OCTAVIO",-2004,F1210 P348 2004,978-968-16-5970-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
700102,CIEN AÑOS DE SOLEDAD / GABRIEL GARCIA MARQUEZ,"GARCIA MARQUEZ, GABRIEL",-2007,PQ8197 G216 2007,978-84-204-7183-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6688,PROBLEMAS DEL REALISMO,"LUKACS, GEORG",-1966,PN56 .R3 L954,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6642,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v13 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6641,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v12 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6640,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v11 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6639,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v10 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6638,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v8 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6637,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v7 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6636,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v6 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6635,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v5 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6634,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v4 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6633,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v3 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6632,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v2 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6631,HISTORIA UNIVERSAL DE LA LITERATURA,"PRAMPOLINI, SANTIAGO, 1898-",v1 (1955),C PN563 P898,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
6416,DICCIONARIO HISPANICO UNIVERSAL : ENCICLOPEDIA ILUSTRADA EN LENGUA ESPAÑOLA,[*SIN AUTOR*],v2 (1970),C AE61 D545j 1970,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
62485,EL UMBRAL DE LA NOCHE,"KING, SETPHEN",-2003,PS3561 .I483 K54u 2003,84-9759-429-0,DISPONIBLE,Libros,INGENIERIA LOGISTICA,,,
62442,EL CONDE DE MONTECRISTO,"DUMAS, ALEXANDRE",-2022,PQ1136 D886,9.79E+12,DISPONIBLE,Libros,INGENIERIA LOGISTICA,,,
62441,ORGULLO Y PREJUICIO,"AUSTEN, JANE",-2023,PR4034 A932p,9.79E+12,DISPONIBLE,Libros,INGENIERIA GESTION EMPRESARIAL,,,
62323,MUJERCITAS,"ALCOTT, LOUISA M.",-2022,PS1017 .L518 A355 2022,9.79E+12,DISPONIBLE,Libros,INGENIERIA EN ELECTRICA,,,
62314,EL ALQUIMISTA. EDICION PARA ESTUDIANTES,"COELHO, PAULO",-2022,PQ9698.13 .O3546 C672ae 2022,9.79E+12,DISPONIBLE,Libros,INGENIERIA EN ELECTRONICA,,,
62308,CIEN AÑOS DE SOLEDAD,"GARCIA MARQUEZ, GABRIEL",-2015,PQ8180.17 .A73 G216c,9.79E+12,DISPONIBLE,Libros,INDUSTRIAL,,,
62304,RAYUELA,"CORTAZAR, JULIO",-2016,PQ7797 C827r,9.79E+12,DISPONIBLE,Libros,INGENIERIA EN ELECTRICA,,,
62222,PUBLICATION. MANUAL OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION :,,-2020,BJ76.7 P976 2020 M,978-1-4338-3216-1,DISPONIBLE,Libros,INGENIERIA GESTION EMPRESARIAL,,,
614,DE LA LITERATURA ALEMANA CONTEMPORANEA,"MAYER, HANS",-1972,AC9 B846 v.228,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
61294,CABALLO DE TROYA,"BENITEZ, J. J.",,PQ6652 B467ca,978-607-07-0954-8 (v.1),DISPONIBLE,Libros,ARQUITECTURA CAMPUS NORTE,,,
61292,FESTIN DE CUERVOS :,"MARTIN, GEORGE R. R.",v4 (2018),PS3563 .A7239 M381f,9.79E+12,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
61291,TORMENTA DE ESPADAS :,"MARTIN, GEORGE R. R.",v3 (2019),PS3563 .A7239 M381t,9.79E+12,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60939,LA REVOLUCION ELECTRONICA,"BURROUGHS, WILLIAM S.",-2013,PS3552 .U75 B972,978-987-1622-02-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60926,LOS AÑOS SABANDIJAS,"VELASCO, XAVIER",-2016,PQ7298.32 .E38 V433a,978-607-07-3671-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
